depth	min	max	median	mean
1809	1077	1464	1168	1182
1814	1080	1468	1172	1187
1819	1087	1475	1177	1192
1824	1092	1481	1182	1196
1829	1096	1487	1187	1201
1834	1099	1493	1191	1206
1839	1104	1497	1197	1211
1844	1108	1501	1202	1216
1849	1112	1505	1207	1221
1854	1116	1510	1211	1226
