labID,age,error,depth,cc,dR,dSTD,ta,tb
SantJaume_13,560,40,414,2,0,0,3,4
SantJaume_18,680,40,524,2,0,0,3,4
SantJaume_19,870,40,549,2,0,0,3,4
SantJaume_39,890,40,1030,2,0,0,3,4
SantJaume_45,1120,40,1143,2,0,0,3,4
SantJaume_57,1250,40,1408,2,0,0,3,4
SantJaume_58,1360,40,1428,2,0,0,3,4
SantJaume_61,1310,40,1488,2,0,0,3,4
SantJaume_63,1870,40,1549,2,0,0,3,4
SantJaume_69,1240,40,1731,2,0,0,3,4
SantJaume_71,1730,40,1771,2,0,0,3,4
SantJaume_75,1760,40,1858,2,0,0,3,4
