"","score","label","PC1","PC2","age","Al","Si","S","K","Ca","Ti","Mn","Fe","Cu","Zn","As","Rb","Sr","Y","Zr","Nb","Pb"
"18","sites","2",0.395832271231342,0.444652902126766,NA,-0.0145558691011539,-0.515646351469432,-0.604793375166105,0.047718258392395,-0.598754007484186,0.497329619917048,-0.202156974217733,0.50484339762435,1.94814948788121,0.749838178630512,-0.654142685290679,0.23204476125052,0.767425905541335,-0.00484445060105268,0.218225049250587,0.061378964366438,3.92007748163388
"19","sites","8",1.45466573612285,1.48677980908059,NA,1.51626858060509,1.0383385371352,-0.460141942340455,1.50085989282215,0.833046390075287,2.40244180952916,0.278123970681356,2.03356562522491,2.05670982126774,1.15940171206083,-0.163554633445886,1.05814147737903,0.709071092822019,1.99575293126304,0.819045124063612,1.87895882036129,3.13331348723663
"20","sites","9",-0.308396600840015,1.24575141818017,NA,-0.592716382304644,0.483557621732703,-0.438631771014805,-0.737949037689662,-0.136763533970614,1.39319247741494,-0.259174923643282,-0.0996221404604536,1.18980049234055,-0.827596093886269,-0.303722648258684,-0.471432352739913,0.119238601182168,0.679164422889756,1.61616093334882,0.207831441971779,0.288643671195334
"21","sites","12",-1.02571987326427,-0.720948589208421,NA,-1.16445098408328,2.53940566509304,-0.372893692142985,-0.815813733911102,-1.4227433260502,-0.992634481358805,-0.706351082702897,-1.18395799923383,-0.806765639072532,-1.56908078474116,-0.744250694813193,-0.981995006470009,-2.04550050911706,-0.776283029726025,-1.14868536921678,-1.22792588312344,-1.70206522566034
"22","sites","19",-1.17669370401621,-0.0649549825731142,NA,-1.47139692710111,0.392567040667997,-0.526520907608992,-1.25561782959335,-0.793069299858285,-0.699800089601642,-0.556445438472685,-1.01531473121611,-0.441751184787398,-1.47138079493393,-0.939484715445305,-1.23780486610289,-0.894115165847486,-0.591137770736031,0.384688605231554,-0.744109662462936,-0.598915710384481
"23","sites","21",-1.09984240056183,0.0916443406212522,NA,-1.35769218125216,0.00838548567028168,-0.552362121741939,-1.32396838492245,-0.236247981255821,-0.23838102670653,-0.530888244890067,-0.679590540225608,-1.21740690014331,-1.07411063770452,-0.426369661219883,-1.12469885378588,0.164126918658565,-0.349420349276874,0.226279737443214,-0.456435152881017,-0.0193422340847282
"24","sites","22",-0.990211344021853,0.489033009591438,NA,-1.39485400335331,-0.39164914117547,-0.616089841179842,-1.25015225929349,-0.202843223788802,-0.0131999194624249,-0.205482398528921,-1.05935018228079,0.782305907599817,-0.577199431267731,-0.493950668361767,-1.15059695940987,-0.362188603752186,-0.0485593034181344,0.837242752943252,-0.283830447131865,-0.968498796720555
"25","sites","25",-0.759368503680603,0.216184448532712,NA,-0.798551782576252,-0.740083089418008,-0.527721726331265,-0.644241497517769,-0.334784257630798,-0.0226219031243393,-0.54187335441242,-0.620207029024886,0.728812409989065,-0.720190807078317,-0.609088680529423,-0.797537070495058,-0.304731557382398,-0.354563273137707,0.388268466650499,0.202600996343016,-0.850904178340895
"26","sites","26",-1.18595522254383,0.19462296069246,NA,-1.13494553753544,0.238112254922187,-0.591948662541348,-1.14547702892626,0.481082425458545,-0.374311425701132,-0.23081540620292,-1.22719607834585,0.0176635593990626,-1.37303378532665,-0.962011717825933,-1.15799641815958,-0.190490789404969,-0.285133801016459,0.265061569481791,-0.46428082132416,-0.780907381686336
"27","sites","27",-0.89988177643002,0.103793035616938,NA,-0.495368060014428,-0.0139963980396883,-0.534670284106212,-0.765209413012395,-0.131256320066359,-0.131103783505694,-0.286151961313824,-0.491075971175643,-0.934206030439324,-1.0035854794993,-0.326249650639312,-0.905886287901548,0.136071720235817,-0.706853557604778,0.949411744070212,-0.116456187011476,-0.506519938800462
"28","sites","28",-0.730585411236071,0.393858379403842,NA,-0.0989155731503972,1.38187906811791,-0.587978539967992,-0.825027043516361,0.568011559752474,0.873413045399344,-0.187061789704023,-0.566216128140524,-0.802045624577465,-0.597904064869264,0.021667386128169,-0.718257155319577,0.266696724092131,-0.35199181120729,1.04576968059683,-1.00040149827228,-0.85650392207326
"29","sites","29",-0.358554751883085,0.87254830783223,NA,-0.675787293226101,0.531192159900953,-0.522119029989426,-0.631713420739913,0.23048592569624,0.669184020544975,1.81828116289704,-0.0431311275168713,0.327611177908422,-0.309333234047901,0.0967573940635968,-0.530628022737605,0.489791661949822,0.542876940577678,1.0254837992228,0.38043614772093,0.257845080667328
"30","sites","30",1.56811957526038,-0.379873021563194,NA,2.15273934451958,0.931094865766572,-0.562309353236269,1.81929402745788,-1.28702422226218,1.14252038697593,-0.246657877078696,2.44606971550279,1.49817477268489,1.49455796848564,-0.714214691639022,1.88740939011456,-0.825436040108599,0.0182987067726964,-0.711345632535603,0.197370550714254,2.06656230622115
"31","sites","31",0.326438029612904,-0.0530907577637289,NA,0.932525148895458,0.503577694346744,-0.462418775591954,0.794541768845443,0.260721660442891,0.283743145535437,-0.357629901845328,0.969056069066588,0.0522769990295498,0.33445146699976,1.25814951679821,0.929708014794752,0.234377135509125,0.213729813484356,-0.212253286377614,0.207831441971779,0.168249180949491
"32","sites","32",0.354792888043941,0.889716696114459,NA,0.774928525452621,0.454131583235185,-0.271981069350219,0.93512557116213,-0.603180237780451,1.1170078924028,-0.102506337836383,0.305363614272893,0.0318236028842617,0.184989893188695,1.9589895908622,0.654870975519751,-0.504260128564982,0.807737519410584,2.03858458078439,1.28791846431117,-0.778107509820153
"33","sites","34",-0.0163999463597172,0.875259971571345,NA,-0.484035568718375,-0.892659916178893,-0.601403423436094,0.0680370220534293,-0.557475477168334,0.719585179722749,-0.260856317957928,0.164822757760295,0.0318236028842617,-0.132696828634824,0.712495459134103,0.199275729644655,-0.728028391184818,0.93116769207058,1.54963517531341,1.26438145898174,0.350240852251346
"34","sites","35",0.402250053924267,-0.712806355778786,NA,1.34252454585108,0.566583580009772,-0.569625577417755,1.22833205029343,-0.286690157902646,-0.292331563291189,-0.548412110080488,0.566383232976941,-0.789458919257289,0.837832871437027,-0.691687689258393,0.92389415434855,-0.409770220277166,0.311445366840186,-0.390351391970154,-0.676113869289028,0.717024066721238
