"","depth","Textularia.bocki","Trochammina.inflata","Adelosina.bicornis","Adelosina.laevigata","Adelosina.striata","Cornuspira.involvens","Massilina.secans","Miliolinella.subrotunda","Miliolinella.webbiana","Quinqueloculina.berthelotiana","Quinqueloculina.lata","Quinqueloculina.oblonga","Quinqueloculina.seminula","Siphonaperta.quadrata","Triloculina.marioni","Triloculina.trigonula","Ammonia.beccarii","Asterigerinata.mamilla","Aubignyna.hamblensis","Bolivina.pseudoplicata","Brizalina.variabilis","Bulimina.elongata","Bulimina.gibba","Cassidulina.carinata","Cibicides.lobatulus","Cribroelphidium.excavatum","Cribroelphidium.oceanensis","Cribroelphidium.selseyense","Discorbis.sp.","Elphidium.crispum","Elphidium.margaritaceum","Fissurina.lucida","Fissurina.marginata","Gavelinopsis.praegeri","Gyroidina.sp.","Haynesina.depressula","Haynesina.germanica","Nonionella.atlantica","Nonionoides.boueanum","Planorbulina.mediterranensis","Rosalina.irregularis","Rosalina.anomala","Spirillina.vivipara","Trichohyalus.aguayoi"
"29",-1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",-1041,0,0,1,1,3,1,0,1,0,0,0,0,15,0,2,12,46,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,12,1,2,0
"31",-1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",-1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",-1116,0,0,0,6,1,0,0,1,0,0,0,0,4,0,0,0,102,0,0,1,0,1,0,0,0,4,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",-1135,0,0,0,4,0,0,0,0,0,0,0,0,4,0,2,1,199,0,0,0,0,1,0,0,0,0,0,118,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",-1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",-1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",-1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",-1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",-1247,0,0,2,1,0,0,0,11,0,0,0,6,27,0,0,0,158,0,0,0,0,0,1,0,0,6,0,82,0,6,4,0,0,4,0,1,0,0,2,0,15,0,6,0
"40",-1259,0,0,0,2,0,2,0,1,0,0,0,2,23,0,0,0,274,1,0,0,2,1,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
