Sample,Depth (cm),Textularia bocki,Trochammina inflata,Adelosina bicornis,Adelosina laevigata,Adelosina striata,Cornuspira involvens,Massilina secans,Miliolinella subrotunda,Miliolinella webbiana,Quinqueloculina berthelotiana,Quinqueloculina lata,Quinqueloculina oblonga,Quinqueloculina seminula,Siphonaperta quadrata,Triloculina marioni,Triloculina trigonula,Ammonia beccarii,Asterigerinata mamilla,Aubignyna hamblensis,Bolivina pseudoplicata,Brizalina variabilis,Bulimina elongata,Bulimina gibba,Cassidulina carinata,Cibicides lobatulus,Cribroelphidium excavatum,Cribroelphidium oceanensis,Cribroelphidium selseyense,Discorbis sp.,Elphidium crispum,Elphidium margaritaceum,Fissurina lucida,Fissurina marginata,Gavelinopsis praegeri,Gyroidina sp.,Haynesina depressula,Haynesina germanica,Nonionella atlantica,Nonionoides boueanum,Planorbulina mediterranensis,Rosalina irregularis,Rosalina anomala,Spirillina vivipara,Trichohyalus aguayoi
14,-215,,,,,,,,,,,,,,,,,94.9,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
15,-240,,,,*,,,,,,,,,,,,,*,,,,,,,,,*,,,,,,,,,,,,,,,,,,
16,-378,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-402,,,,,,,,,,,,,*,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,-444,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-469,,,,,,,,,,,,,*,,,,*,,*,,,,,,,,*,*,,*,,,,,,,,,,,,,,
20,-494,*,,,,,,,,,,,,*,,,*,*,,,,,,,,,*,*,*,*,,,,,,,,,,,,,,,*
21,-519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,-544,,,,*,,,,,,,,,*,*,*,,*,,,,,,,,*,*,,,,,,,,,,,*,,,*,*,*,,
23,-640,1.4,,,2,,,1.4,,,,0.7,,9.5,,2,3.1,41.5,0.3,1,0.7,1.4,0.3,1.7,,5.1,1.7,,16,,1,0.3,,,,,1.4,,,0.3,1.7,3.1,9.2,,
24,-665,*,,,*,,,*,,,,*,,*,,*,*,*,,,,,,,,*,,,*,,,,,,,,,,,,,*,*,,
25,-690,0.7,,,6.3,0.7,,2.8,,0.7,,2.8,,19.6,,5.6,2.8,31.5,,0.7,,,,,,5.6,,,10.5,,,0.7,,,,,,1.4,,,,3.5,4.9,,
26,-715,,,,*,,,,,,,,,*,,,*,*,,,,,*,,,,,,*,,,*,,,,,,,,,,*,,,
27,-854,0.8,,,1.6,,,1.6,,0.8,,3.9,,21.1,0.8,3.9,7,33.6,,0.8,,,0.8,0.8,,3.9,1.6,,14.8,,,,,,,0.8,,0.8,,,2.3,0.8,1.6,,0.8
28,-873,,,,1.9,1.3,,1.3,,,,,0.6,20.6,,11.9,,35.6,0.6,0.6,,,1.3,,,3.1,,,10,0.6,0.6,0.6,,,,,0.6,0.6,,,1.3,,6.9,,
29,-1023,,,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,-1041,,,1,1,3.1,1,,1,,,,,14.6,,2.1,12.5,45.8,,,,,,,,,,1,7.3,,,1,,,,,,,,,,12.5,1,2.1,
31,-1066,,,,,,*,,,,,,,*,,,,*,,,,,,,,*,,,*,,,,,,,,,,,,,,,,
32,-1091,,,,,,,,,,,,*,*,,*,,*,,,,,,*,,,,,*,*,,,,,,,,,,,,,,,*
33,-1116,,,,3.9,0.6,,,0.6,,,,,2.6,,,,61,,,0.6,,0.6,,,,2.6,,24,0.6,,,,,,,,,,,,,,,
34,-1135,,,,1.2,,,,,,,,,1.2,,0.6,0.3,59.7,,,,,0.3,,,,,,35.4,0.3,0.9,,,,,,,,,,,,,,
35,-1160,*,,,,,,,,,,,,*,,,,*,,,,,,,,,,,*,,,,,,,,,,,,,,,,
36,-1185,*,,,*,,,,,,,,,*,,*,,*,,,,*,*,*,,,,,*,*,,,,,,,,,,,,,,,
37,-1198,,,,,,,,,,,,,*,,,,,,*,,,,,,,*,,*,,*,,,,,,,,,,,,,,
38,-1223,,,,,,,,,,,,,*,,,,,,,,,,,,,,,*,,,,,,,,,,,,,,,,
39,-1247,,,0.6,0.3,,,,3.4,,,,1.7,8,,,,47.4,,,,,,0.3,,,1.7,,24.6,,1.7,1.1,,,1.1,,0.3,,,0.6,,4.6,,1.7,
40,-1259,,,,0.6,,0.6,,0.3,,,,0.6,6.9,,,,82.2,0.3,,,0.6,0.3,,0.3,,,,6.9,,,,,,,,,,,,,,,0.3,
41,-1284,,,,,,1.5,,,,,0.7,1.5,13.1,,3.6,2.2,29.9,,6.7,,2.2,7.3,2.9,,,,,22.6,,0.7,,0.7,,,,1.5,,2.2,,,,1.5,,
42,-1309,,,,,,,,,,,,,,,,,88.8,,,,,0.7,,,,0.7,,8.6,,,,,,,,,,,,,0.7,,,
43,-1334,,,,,,0.3,,0.6,,,,0.9,2.7,,,0.9,79.5,,,0.6,,0.3,0.3,,0.6,4.2,,1.2,,,1.5,,,,,,3.3,,,,2.7,,0.3,0.6
44,-1359,,,,,,,,0.7,,,,,1.3,,,,92.2,,0.7,,,,,,,,,5.2,,,,,,,,,,,,,,,,
45,-1405,,,,0.3,,,,,,,,0.3,3.7,,,1,73.7,,0.3,,,,,,0.3,3,,16.7,,2,,,,,,,,,,,,,,
46,-1430,1.2,,,,,0.3,,,,,,,12.2,,,,59.1,,0.6,,,0.9,,,,4.3,,18,,3.5,,,,,,,,,,,,,,
47,-1455,,,,1,0.3,0.3,,,,,0.3,,2,,,1.3,75.6,,2,,0.3,,,,,,,14.2,,0.7,,,,0.3,,,,,,,1.7,,,
48,-1473,,,,,,,,,,,,,0.9,,,,82.8,,0.3,,,,,,,,,15.7,,0.3,,,,,,,,,,,,,,
49,-1498,,,,,,,,,,,,,3.5,,,0.7,73.6,,0.4,,,0.4,,,,,,20,,0.4,,,0.4,,,,,,,,,0.4,,
50,-1523,,,,,,,,,,,,0.8,4,,,,84,,,,0.8,,,,,,,10.4,,,,,,,,,,,,,,,,
51,-1548,,,,0.7,,0.7,,,,,,,6.2,,,0.7,77.9,0.7,0.7,,,,,,0.7,1.4,,9,,0.7,,,,,,,,,,,0.7,,,
52,-1570,,,0.6,,0.6,1.9,,,,,,1.9,7.5,0.6,,,71.4,0.6,0.6,,1.2,0.6,,,,1.9,,8.1,,,,,,,,,0.6,,,,1.9,,,
53,-1595,,,,0.3,,,,,,,,0.6,,,,,89.1,0.3,,,,,,,,,,8.8,,,,,,,,,,,,,0.9,,,
54,-1620,,,,,,,0.9,,,0.9,,,2.7,,,,85.8,,,,,,,,,1.8,,8,,,,,,,,,,,,,0.9,,,
55,-1645,0.9,,,0.9,,,,,,,,,1.6,,,2.2,84,,,,,0.6,,0.3,0.3,0.9,,6.6,,,,,,0.3,,0.6,,,0.3,,0.3,,,
56,-1670,,,,,,0.3,,,,,,0.6,,,,0.3,97.3,,,,,,,,,0.3,0.3,0.3,,,,,,,,0.3,,,,,,0.3,,
57,-1690,,,,,,,,,,,,,,,,,78,,,,,,,,,10.1,,9.2,,1.8,,,,,,,0.9,,,,,,,
