sample_id;depth;sand
S2_C5_14.4_15.0M;14,7;0,82
S2_C5_14.4_15.0B52cm;14,92;0,00
S2_C6_15.6_16.2T;15,7;1,73
S2_C6_15.6_16.2M;15,9;12,10
S2_C6_15.6_16.2B;16,2;13,51
S2_C6_16.2_16.8T;16,3;86,56
S2_C6_16.2_16.8M;16,5;87,27
S2_C6_16.2_16.8B;16,8;87,88
S2_C6_16.8_17.4T;16,9;91,29
S2_C6_16.8_17.4M;17,1;93,09
S2_C6_16.8_17.4B;17,4;78,55
S2_C6_17.4_18.0T;17,5;77,14
S2_C6_17.4_18.0M;17,7;52,84
S2_C6_17.4_18.0B;18;57,69
S2_C7_18.6_19.2T;18,7;4,71
S2_C7_18.6_19.2M15cm;18,75;5,29
S2_C7_18.6_19.2M30cm;18,9;4,35
S2_C7_18.6_19.2M45cm;19,05;26,07
S2_C7_18.6_19.2B;19,2;3,44
S2_C7_19.2_19.8T;19,3;1,79
S2_C7_19.2_19.8M15cm;19,35;1,79
S2_C7_19.2_19.8M30cm;19,5;1,34
S2_C7_19.2_19.8M45cm;19,65;2,40
S2_C7_19.2_19.8B54cm;19,8;2,46
S2_C8_21.6_22.2T;21,7;1,95
S2_C8_21.6_22.2M15;21,75;2,97
S2_C8_21.6_22.2M30;21,9;5,36
S2_C8_21.6_22.2M45;22,05;7,93
S2_C8_21.6_22.2B;22,2;3,18
S2_C8_22.2_22.8T;22,3;2,84
S2_C8_22.2_22.8M15;22,35;2,51
S2_C8_22.2_22.8M30;22,5;2,53
S2_C8_22.2_22.8M45;22,65;2,28
S2_C8_22.2_22.8B;22,8;1,22
S2_C8_22.8_23.4T;22,9;3,76
S2_C8_22.8_23.4M15;22,95;0,57
S2_C8_22.8_23.4M30;23,1;0,90
S2_C8_22.8_23.4M45;23,25;3,00
S2_C8_22.8_23.4B;23,4;4,35
S2_C8_23.4_24.0T;23,5;1,23
S2_C8_23.4_24.0M15;23,55;13,88
S2_C8_23.4_24.0M30;23,7;2,29
S2_C8_23.4_24.0M45;23,85;3,15
S2_C8_23.4_24.0B;24;3,88
S2_C9_24.6_25.2T;24,7;2,41
S2_C9_24.6_25.2M15;24,75;7,26
S2_C9_24.6_25.2M30;24,9;1,71
S2_C9_24.6_25.2M45;25,05;1,78
S2_C9_24.6_25.2B;25,2;2,24
S2_C9_25.2_25.8T;25,3;7,43
S2_C9_25.2_25.8M15;25,35;2,45
S2_C9_25.2_25.8M30;25,5;2,35
S2_C9_25.2_25.8M45cm;25,65;6,31
S2_C9_25.2_25.8B;25,8;1,35
S2_C9_25.8_26.4T;25,9;1,94
S2_C9_25.8_26.4M15;25,95;0,92
S2_C9_25.8_26.4M30;26,1;0,36
S2_C9_25.8_26.4M45;26,25;0,43
S2_C9_25.8_26.4B;26,4;0,43
S2_C9_26.4_27.0T;26,5;1,02
S2_C9_26.4_27.0M15cm;26,55;0,77
S2_C9_26.4_27.0M30;26,7;1,21
S2_C9_26.4_27.0M45;26,85;1,31
S2_C9_26.4_27.0B;27;1,33
S2_C10_27.6_28.2T;27,7;1,23
S2_C10_27.6_28.2M;27,9;1,40
S2_C10_27.6_28.2B;28,2;0,66
S2_C10_28.2_28.8T;28,3;1,51
S2_C10_28.2_28.8M;28,5;0,77
S2_C10_28.2_28.8B;28,8;0,75
S2_C10_28.8_29.4T;28,9;0,94
S2_C10_28.8_29.4M;29,1;2,07
S2_C10_28.8_29.4B;29,4;0,87
S2_C10_29.4_30.0T;29,5;0,80
S2_C10_29.4_30.0M;29,7;2,62
S2_C10_29.4_30.0B;30;2,02
S2_C11_30.6_31.2T;30,7;1,93
S2_C11_30.6_31.2M;30,9;1,16
S2_C11_30.6_31.2B;31,2;1,67
S2_C11_31.2_31.8T;31,3;0,75
