section;sample_id;depth;Eggerelloides scaber;Haplophragmoides wilberti;Jadammina macrescens;Textularia agglutinans;Textularia bocki;Textularia calva;Textularia tenuissima;Textularia sp.;Ammobaculites cf arenaria;Trochammina inflata;Adelosina bicornis;Adelosina laevigata;Adelosina mediterranensis;Adelosina sp.;Cornuloculina sp.;Cornuspira incerta;Cornuspira involvens;Lachlanella undulata;Massilina secans;Miliolinella subrotunda;Miliolid undetermined;Pyrgo inornata;Pyrgo sp.;Spiroloculina canaliculata;Quinqueloculina depressa;Quinqueloculina lata;Quinqueloculina longirostra;Quinqueloculina oblonga;Quinqueloculina seminula;Quinqueloculina stelligera;Quinqueloculina vulgaris;Quinqueloculina sp.1;Quinqueloculina sp.2;Triloculina dubia;Triloculina marioni;Triloculina trigonula;Triloculina sp;Triloculina rotunda;Amphicoryna scalaris;Acervulina inhaerens;Ammonia tepida;Ammonia beccarii;Astacolus crepidulus;Asterigerinata mamilla;Aubignyna perlucida;Bolivina difformis;Bolivina alata;Bolivina dilatata;Bolivina pseudoplicata;Bolivina striatula;Bolivinellina pseudopunctata;Brizalina spathulata;Brizalina iraensis;Brizalina variabilis;Buccella granulata;Bulimina aculeata;Bulimina elongata;Bulimina gibba;Bulimina marginata;Buliminella elegantissima;calcareous undt;Cassidulina carinata;Cassidulina obtusa;Cibicides lobulatus;Cibicides sp.;Cribroelphidium sp (cf excavatum);Cribroelphidium sp.;Cribroelphidium magellanicum;Cribroelphidium oceanensis;Cribroelphidium cf poeyanum;Cribroelphidium selseyense;Cribroelphidium williamsoni;Elphidium advenum;Elphidium crispum;Elphidium excavatum;Elphidium earlandi;Elphidium flexuosum;Elphidium gerthi;Elphidium incertum;Elphidium macellum;Elphidium margaritaceum;Elphidium sp.;Epistominella vitrea;Favulina melo;Fissurina lucida;Fissurina marginata;Fissurina sp.;Fursenkoina schreibersiana ;Gavelinopsis praegeri;Globobulimina sp.;Haynesina depressula;Haynesina germanica;Hopkinsina pacifica;Lagena semistriata;Lagena sulcata;Lagena vulgaris;Nonionella opima;Nonionella sp;Nonionoides boeanum;Nonionoides turgida;Planorbulina mediterranensis;Patellina corrugata;Rectuvigerina compressa;Reussella aculeata;Reussoolina laevis;Rosalina anomala;Rosalina globularis;Rosalina concinna;Rosalina irregularis;Rosalina valvulata;Rosalina williamsoni;Rosalina sp.1;Rosalina sp.2;Spirillina vivipara;Svratkina sp.;Tretomphaloides concinnus;Trichohyalus aguayoi;Trifarina angulosa;Uvigerina sp.;Uvigerina peregrina;Valvulineria bradyana;Planktic
C2;S2_C2_4.8-5.4M45cm;5,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C2;S2_C2_4.8-5.4B;5,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C2;S2_C2_5.4-6.0T;5,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C2;S2_C2_5.4-6.0M30cm;5,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C2;S2_C2_5.4-6.0B;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C2;S2_C2_6.0-6.6T;6,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C2;S2_C2_6.0-6.6M;6,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C2;S2_C2_6.0-6.6B;6,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C3;S2_C3_7.2_7.8T;7,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C3;S2_C3_7.2-7.8M;7,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
