depth	min	max	median	mean
1800	1020	1336	1200	1194
1820	1096	1465	1283	1282
1840	1176	1566	1369	1371
1860	1267	1665	1461	1462
1880	1362	1757	1550	1551
1900	1462	1839	1636	1640
1920	1554	1950	1731	1736
1940	1624	2096	1831	1839
1960	1701	2234	1933	1942
1980	1775	2365	2034	2043
2000	1856	2491	2137	2146
2020	1940	2603	2238	2247
2040	2027	2724	2337	2349
2060	2116	2840	2439	2450
2080	2197	2940	2539	2549
2100	2285	3061	2640	2650
2120	2372	3169	2746	2753
2140	2468	3278	2846	2853
2160	2556	3387	2948	2955
2180	2651	3495	3052	3058
2200	2741	3586	3155	3158
2220	2835	3692	3255	3258
2240	2937	3790	3355	3358
2260	3029	3896	3456	3458
2280	3131	3990	3559	3560
2300	3229	4088	3661	3661
2320	3331	4184	3763	3761
2340	3435	4285	3867	3862
2360	3537	4373	3969	3964
2380	3634	4467	4070	4065
2400	3742	4569	4172	4166
2420	3859	4652	4272	4268
2440	3975	4737	4373	4370
2460	4088	4828	4473	4469
2480	4202	4914	4573	4571
2500	4315	4999	4677	4672
2520	4440	5082	4774	4773
2540	4582	5156	4874	4875
2560	4718	5235	4970	4975
2580	4836	5340	5074	5081
2600	4924	5486	5183	5189
2620	5009	5616	5294	5298
2640	5098	5751	5402	5408
2660	5188	5883	5513	5518
2680	5281	6006	5624	5627
2700	5374	6120	5734	5736
2720	5470	6238	5844	5846
2740	5566	6354	5955	5957
2760	5666	6463	6064	6066
2780	5777	6572	6179	6176
2800	5876	6683	6285	6284
2820	5991	6781	6395	6393
2840	6102	6882	6505	6503
2860	6212	6986	6613	6610
2880	6321	7085	6727	6720
2900	6442	7174	6838	6830
2920	6553	7263	6953	6941
2940	6674	7351	7062	7050
2960	6798	7433	7176	7159
2980	6919	7509	7288	7269
3000	7043	7587	7402	7378
3020	7119	7684	7468	7450
3040	7202	7772	7537	7522
3060	7273	7860	7602	7592
3080	7349	7951	7668	7663
3100	7431	8028	7736	7733
3120	7504	8108	7803	7804
3140	7582	8200	7870	7874
3160	7654	8281	7936	7944
3180	7736	8364	8003	8014
3200	7823	8449	8072	8084
3220	7901	8533	8140	8153
3240	7987	8624	8209	8223
3260	8066	8708	8289	8305
3280	8137	8821	8382	8404
3300	8212	8955	8480	8504
3320	8285	9084	8580	8604
3340	8357	9207	8678	8706
3360	8437	9329	8776	8808
3380	8511	9455	8877	8909
3400	8595	9588	8978	9010
3420	8671	9699	9076	9111
3440	8757	9827	9169	9212
3460	8836	9946	9266	9312
3480	8920	10057	9362	9413
3500	9007	10168	9456	9516
3520	9093	10288	9552	9618
3540	9182	10398	9647	9719
3560	9270	10510	9743	9822
3580	9354	10617	9823	9909
3600	9424	10708	9896	9985
3620	9494	10805	9964	10059
3640	9572	10904	10041	10133
3660	9645	11000	10113	10208
3680	9710	11112	10184	10281
3700	9785	11205	10250	10354
3720	9868	11299	10320	10428
3740	9942	11392	10390	10501
3760	10016	11486	10458	10575
3780	10091	11573	10526	10648
3800	10169	11676	10600	10722
