labID;age;error;depth;cc
Beta - 602821;1820;30;18;2
Poz-143809;2245;35;19,1;2
Poz-143808;4900;41;25,7;2
Poz-143806;7230;41;30,0;2
Poz-143807;7840;50;32,5;2
Poz-143804;9800;60;35,7;2
Poz-142765;9550;50;38,1;2
