depth	min	max	median	mean
414	-72	55	-45	-35
415	-70	58	-42	-32
416	-69	59	-40	-29
417	-68	62	-36	-27
418	-67	65	-33	-24
419	-66	67	-30	-22
420	-65	70	-27	-19
421	-64	73	-24	-16
422	-64	76	-21	-14
423	-63	80	-18	-11
424	-62	82	-15	-9
425	-61	85	-13	-6
426	-61	90	-10	-4
427	-60	95	-7	-1
428	-60	100	-5	2
429	-59	104	-2	4
430	-59	110	0	7
431	-58	115	3	9
432	-57	120	5	12
433	-57	124	7	15
434	-56	131	10	17
435	-53	133	13	20
436	-50	136	15	23
437	-48	140	18	25
438	-46	142	21	28
439	-44	145	24	31
440	-42	148	27	33
441	-40	150	30	36
442	-38	154	33	39
443	-38	157	35	41
444	-36	160	38	44
445	-34	165	41	47
446	-33	170	44	49
447	-33	175	47	52
448	-32	179	50	55
449	-30	183	52	57
450	-29	187	55	60
451	-29	193	57	63
452	-28	199	60	65
453	-27	203	62	68
454	-26	209	65	71
455	-23	211	67	74
456	-20	213	70	76
457	-18	215	73	79
458	-16	217	76	81
459	-14	220	78	84
460	-12	223	81	87
461	-10	225	85	89
462	-8	227	88	92
463	-6	230	90	95
464	-4	233	93	97
465	-3	235	96	100
466	-2	239	100	103
467	-1	241	102	105
468	0	245	105	108
469	1	249	108	111
470	3	253	111	113
471	4	257	113	116
472	4	263	116	119
473	6	266	118	121
474	7	271	121	124
475	11	273	124	127
476	14	277	126	129
477	17	279	129	132
478	21	281	132	135
479	23	283	135	138
480	25	284	138	140
481	28	286	140	143
482	30	289	143	146
483	33	292	146	149
484	34	295	148	151
485	37	299	151	154
486	38	302	154	157
487	40	305	156	160
488	41	308	159	162
489	42	311	162	165
490	43	315	165	168
491	44	318	167	171
492	45	323	170	173
493	48	327	173	176
494	50	332	175	179
495	53	335	178	182
496	58	336	180	184
497	63	338	183	187
498	67	340	185	190
499	70	343	187	192
500	74	346	190	195
501	78	347	192	198
502	80	348	195	200
503	82	352	198	203
504	84	354	200	206
505	87	358	203	209
506	89	361	205	211
507	92	364	208	214
508	95	366	211	217
509	98	369	214	219
510	99	373	216	222
511	101	376	218	225
512	103	380	220	227
513	105	384	223	230
514	108	388	226	233
515	113	392	228	236
516	118	394	232	240
517	122	397	235	243
518	128	399	239	247
519	132	402	242	250
520	136	404	245	254
521	140	407	249	257
522	143	412	252	261
523	146	416	256	264
524	149	418	259	268
525	153	420	263	271
526	155	424	267	275
527	159	428	271	278
528	161	430	275	282
529	164	435	278	285
530	165	439	281	289
531	168	443	285	292
532	170	449	289	296
533	172	454	292	299
534	175	458	295	303
535	182	464	301	308
536	190	469	306	314
537	198	473	312	319
538	205	476	318	325
539	212	481	323	330
540	219	487	330	335
541	226	490	336	341
542	232	494	342	346
543	237	500	348	352
544	241	504	354	357
545	246	508	359	363
546	249	515	365	368
547	253	521	370	373
548	256	532	376	379
549	259	542	381	384
550	261	551	387	390
551	264	560	392	395
552	266	569	397	400
553	269	579	402	406
554	270	591	407	411
555	279	602	416	421
556	286	615	426	431
557	291	629	436	441
558	296	645	445	451
559	301	664	454	461
560	307	682	463	471
561	310	708	472	481
562	314	733	480	491
563	317	757	488	500
564	321	786	497	510
565	325	808	505	520
566	328	835	513	530
567	330	859	522	540
568	333	884	529	550
569	336	909	538	560
570	340	939	544	570
571	342	971	552	580
572	345	1001	560	590
573	346	1030	568	599
574	349	1054	575	609
575	357	1069	587	619
576	366	1077	598	629
577	371	1092	607	639
578	378	1112	616	650
579	382	1117	628	660
580	387	1130	639	670
581	392	1144	648	680
582	397	1155	658	690
583	402	1177	668	700
584	406	1195	678	710
585	411	1216	688	720
586	416	1240	698	730
587	419	1258	707	740
588	422	1285	717	750
589	424	1313	727	760
590	428	1332	735	770
591	432	1348	744	780
592	434	1371	752	790
593	438	1397	762	800
594	441	1420	771	810
595	450	1431	780	821
596	458	1449	791	831
597	465	1458	801	841
598	471	1475	810	851
599	476	1496	822	861
600	482	1513	834	871
601	487	1523	843	882
602	493	1541	853	892
603	500	1564	862	902
604	505	1575	872	912
605	510	1588	882	922
606	515	1607	892	932
607	519	1616	903	943
