"","depth","Eggerelloides.scaber","Haplophragmoides.wilberti","Jadammina.macrescens","Textularia.agglutinans","Textularia.bocki","Textularia.calva","Textularia.sp.","Trochammina.inflata","Adelosina.bicornis","Adelosina.laevigata","Adelosina.mediterranensis","Adelosina.sp.","Cornuloculina.sp.","Cornuspira.incerta","Cornuspira.involvens","Lachlanella.undulata","Massilina.secans","Miliolinella.subrotunda","Miliolid.undetermined","Pyrgo.inornata","Pyrgo.sp.","Quinqueloculina.depressa","Quinqueloculina.lata","Quinqueloculina.longirostra","Quinqueloculina.oblonga","Quinqueloculina.seminula","Quinqueloculina.stelligera","Quinqueloculina.vulgaris","Quinqueloculina.sp.1","Quinqueloculina.sp.2","Triloculina.dubia","Triloculina.marioni","Triloculina.rotunda","Acervulina.inhaerens","Ammonia.beccarii","Astacolus.crepidulus","Asterigerinata.mamilla","Aubignyna.perlucida","Bolivina.difformis","Bolivina.dilatata","Bolivina.pseudoplicata","Bolivina.striatula","Bolivinellina.pseudopunctata","Brizalina.spathulata","Brizalina.variabilis","Buccella.granulata","Bulimina.aculeata","Bulimina.elongata","Bulimina.gibba","Bulimina.marginata","Buliminella.elegantissima","Cassidulina.carinata","Cassidulina.obtusa","Cibicides.lobulatus","Cibicides.sp.","Cribroelphidium.magellanicum","Cribroelphidium.oceanensis","Cribroelphidium.poeyanum","Cribroelphidium.selseyense","Cribroelphidium.williamsoni","Elphidium.advenum","Elphidium.crispum","Elphidium.earlandi","Elphidium.flexuosum","Elphidium.gerthi","Elphidium.incertum","Elphidium.macellum","Elphidium.margaritaceum","Elphidium.sp.","Epistominella.vitrea","Favulina.melo","Fissurina.lucida","Fissurina.marginata","Fissurina.sp.","Fursenkoina.schreibersiana","Gavelinopsis.praegeri","Globobulimina.sp.","Haynesina.depressula","Haynesina.germanica","Lagena.semistriata","Lagena.sulcata","Lagena.vulgaris","Nonionella.opima","Nonionoides.turgida","Patellina.corrugata","Rectuvigerina.compressa","Reussella.aculeata","Reussoolina.laevis","Rosalina.anomala","Rosalina.globularis","Rosalina.irregularis","Rosalina.valvulata","Rosalina.williamsoni","Rosalina.sp.1","Rosalina.sp.2","Spirillina.vivipara","Svratkina.sp.","Tretomphaloides.concinnus","Trifarina.angulosa","Uvigerina.peregrina","Valvulineria.bradyana"
"24",-716,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,118,0,0,6,9,8,0,0,36,3,22,0,0,0,2,0,0,0,0,0,0,0,2,2,30,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",-826,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,68,0,0,0,7,8,0,0,50,2,48,0,0,0,5,0,0,0,0,0,0,0,0,3,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"26",-766,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,3,0,1,0,0,0,0,0,321,0,1,3,0,14,1,0,2,0,16,1,0,0,0,0,0,0,0,0,0,0,1,8,42,0,0,0,0,0,8,1,2,0,0,0,0,22,0,0,0,2,0,2,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
"27",-786,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",-806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,326,0,0,4,0,1,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,1,4,94,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",-826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",-846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",-866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",-886,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,187,0,4,0,0,0,1,0,9,2,2,0,0,0,3,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"33",-910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",-930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,132,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5,90,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
