"","depth","age_calyr","upper_age","lower_age","Bulimina.aculeata","Elphidium.crispum","Cibicides.sp.","Textularia.bocki","Quinqueloculina.depressa","Triloculina.dubia","Textularia.sp.","Miliolid.undetermined","Rosalina.anomala","Nonionoides.turgida","Reussoolina.laevis","Buccella.granulata","Lachlanella.undulata","Reussella.aculeata","Cornuspira.involvens","Bulimina.elongata","Bolivina.difformis","Cibicides.lobatulus","Fissurina.marginata","Elphidium.incertum","Quinqueloculina.lata","Haynesina.depressula","Spirillina.vivipara","Fissurina.sp.","Bolivina.dilatata","Fissurina.lucida","Textularia.agglutinans","Elphidium.gerthi","Rosalina.sp.1","Quinqueloculina.longirostra","Brizalina.spathulata","Bolivina.pseudoplicata","Nonionella.opima","Triloculina.rotunda","Tretomphaloides.concinnus","Elphidium.sp.","Acervulina.inhaerens","Svratkina.sp.","Miliolinella.subrotunda","Rosalina.valvulata","Bulimina.gibba","Aubignyna.perlucida","Quinqueloculina.oblonga","Adelosina.laevigata","Quinqueloculina.sp.1","Rosalina.irregularis","Quinqueloculina.stelligera","Valvulineria.bradyana","Bolivinellina.pseudopunctata","Brizalina.variabilis","Cribroelphidium.poeyanum","Quinqueloculina.seminula","Asterigerinata.mamilla","Haynesina.germanica","Cribroelphidium.oceanensis","Cribroelphidium.selseyensis","Ammonia.beccarii"
"21",1088,501,433,576,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,1,37,3,6,6,2,18,NA,NA,6,8,36,23,10,NA,27,120
"22",1108,518,450,594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,2,4,12,7,4,NA,NA,NA,NA,3,NA,3,NA,2,NA,6,46
"23",1133,540,471,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,2,3,6,61,7,3,6,61
"24",1143,548,480,623,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,1,8,NA,5,NA,NA,NA,9,NA,NA,NA,NA,1,NA,3,1,7,9,2,NA,NA,NA,NA,1,4,8,59,7,3,11,46
"25",1338,715,638,801,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA,NA,1,NA,1,NA,1,1,12,117
"26",1368,740,664,828,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,1,1,8,308
"27",1388,758,681,846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,4,6,4,1,7,NA,78,218
"28",1408,775,698,864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,1,NA,NA,NA,7,NA,1,5,12,NA,5,1,40,117
"29",1428,793,714,880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,15,107
"30",1448,812,731,899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,1,19,31,NA,4,NA,117,146
"31",1468,831,749,919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,NA,NA,1,NA,NA,1,5,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,27,1,1,11,23,NA,NA,NA,48,208
"32",1529,890,805,979,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,3,NA,4,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,2,NA,15,NA,1,1,1,NA,NA,1,6,2,36,6,NA,18,NA,95,300
"33",1549,910,824,997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,4,12,6,NA,4,NA,82,366
"34",1569,929,841,1017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,8,NA,5,NA,12,70
"35",1589,948,859,1038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA,12,302
"36",1609,967,878,1058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,3,2,NA,10,NA,NA,3,NA,NA,NA,NA,NA,3,6,7,4,1,NA,90,105
"37",1629,987,897,1079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,37,126
"38",1711,1067,976,1161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,4,NA,2,NA,NA,3,NA,1,8,3,4,27,NA,86,100
"39",1731,1086,994,1182,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,3,NA,NA,NA,NA,NA,NA,15,6,1,7,NA,53,99
"40",1751,1106,1017,1201,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,8,2,6,6,1,3,1,43,78
"41",1771,1125,1037,1220,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,1,11,NA,1,2,NA,17,99
"42",1791,1144,1055,1240,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,3,2,1,NA,68,30
"43",1818,1170,1079,1266,NA,1,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,10,NA,11,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,10,2,NA,NA,NA,1,13,3,NA,NA,NA,NA,NA,NA,36,NA,NA,2,6,NA,NA,10,1,10,14,8,8,1,3,82,61
"44",1838,1189,1098,1286,NA,3,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,1,NA,NA,NA,1,8,3,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,1,10,9,3,NA,2,NA,NA,6,NA,9,10,12,NA,NA,NA,47,15
"45",1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,NA,NA,NA,3,NA,NA,1,NA,NA,3,NA,1,4,NA,2,NA,NA,NA,NA,6,2,NA,NA,2,NA,NA,8,9,NA,NA,8,3,1,8,5,NA,NA,2,7,NA,8,1,5,NA,NA,5
"46",1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,3,NA,NA,NA,NA,NA,NA,2,NA,5,NA,2,6,1,NA,NA,NA,NA,NA,NA,9,4,10,NA,NA,3,NA,NA,5,NA,NA,3,19,NA,2,NA,12,10
"47",1989,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,9,5,NA,NA,2,NA,NA,NA,2,9,24,28,NA,NA,NA,4,10
"48",2049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,21,5,2,NA,NA,NA,9,37,39,NA,NA,NA,13,34
"49",2069,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,8,NA,NA,NA,4,NA,NA,3,1,15,NA,NA,NA,15,NA,6,NA,2,NA,28,5
"50",2089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,1,NA,6,NA,2,NA,1,NA,NA,NA,NA,4,NA,NA,NA,2,2,6,3,2,NA,1,NA,NA,9,NA,4,4,16,25
