depth,Al,Si,S,K,Ca,Ti,Mn,Fe,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Pb,LE
32.1,23058.06,111280.38,1660.44,6018.75,177827.11,2068,391.14,15192.62,,25.16,7.71,38.63,306.56,11.66,124.71,,7.6,661981.48
32.4,30245.41,127787.77,971.07,6237.4,160409.74,2332.55,303.4,17100.89,25.79,32.1,,45.71,287.53,11.77,111.66,9.99,15.54,654071.69
32.7,37775.25,133793.51,5900,8887.28,165037.99,1905.35,458.21,20031.11,19.5,37.22,14.29,56.87,292.72,11.84,87.53,,8.96,625353.11
33,42227.07,98063.62,1153.64,11107.94,195944.27,1906.24,220.5,18134.11,,45.91,7.54,65.05,258.71,17.71,63.54,13.19,13.05,630757.92
33.3,34156.42,144290.83,4941.2,6832.11,169265.33,2730.85,436.64,25361.5,33.34,42.32,28.32,65.73,326.03,22.21,220,7.59,8.89,610340.87
33.6,43020.05,125565.16,701.63,11822.95,143616.21,2039.17,343.86,28038.84,20.49,55.25,16.75,71.32,336.05,15.52,82.37,12.25,14.81,644198.96
33.9,58491.76,137928.96,302.31,15379.11,131205.84,2060.85,299.85,29811.33,31.78,66.72,6.47,87.24,291.8,17.43,61.18,12.66,14.23,623898.7
34.2,48119.57,119506.2,255.69,10740,194242.61,2075.72,265.65,20977.66,26.44,43.12,7.05,60.9,258.78,14.51,78.49,,13.17,585928.53
34.5,52038.65,130652.24,555.53,11926.67,169280.75,1976.44,559.02,28246.61,27.49,67.1,,76.71,386.73,12.31,59.17,7.43,13.97,583736.85
34.8,46523.52,119485.23,1427.18,11843.26,150987.91,1950.31,898.36,25650.28,28.53,55.01,,78.19,314.85,13.58,59.2,7.62,14.22,629185.79
35.1,44630.84,120559.01,2186.32,11868.01,147136.08,2228.69,570.25,25149.3,21.02,62.51,16.47,67.8,311.61,12.15,90.44,14.05,11.22,644617.38
35.4,51928.7,135457.28,969.21,12831.05,145940.05,2074.06,356.67,28356.74,,61.76,13.19,75.72,316.44,17.26,67.2,,14.09,621277.96
35.7,42053.56,113620.2,1485.1,11288.93,162374.77,2586.12,555.85,24102,29.54,58.01,10.76,67.69,316.23,19.24,87.11,13.97,14.54,627634.5
36,44307.46,146286.63,396.81,10565.25,156225.09,2749,449.05,27960.27,26.23,65.98,13.74,83.03,319.4,18.38,85.43,17.65,16.91,610293.52
36.3,29483.23,113614.76,677.26,8996.39,158111.19,2250.48,293.68,22766.26,24.33,42.87,25.26,57.27,336.69,21.82,141.41,16.94,,662705.28
